Song Name,Movie Name,Release Year,Music Director,Poet,Singers,Actors
"1, 2, 3, 4, 5, 6, 7, Lay Lay Aya Zamana Neya, Ga Ga Ga Ray, Tarana Neya..",Aadmi,1958,Muslehuddin,Tanvir Naqvi,Batish & Co.,
"2 Chand Milay, Jheel Kinaray, Chhupay Chamak Chamak Taray..",Jheel Kinaray,1955,Nazir Jafri,Mushir Kazmi,Fazal Hussain,
"2 Rahi, Rasta Bhool Geye, Rang Badal Gya..",Patay Khan,1955,Akhtar Hussain Akhian,Hazin Qadri,Noorjahan,
"2 Rang Bharay Nain, Kahin Dil Mera Hay Bechain..",Aaghosh,1953,Master Inayat Hussain,Qateel Shafai,Salma Begum,
"A 2 Jahan Kay Malik, Meri Pukar Sun Lay..",Alam Ara,1959,Rehman Verma,Shabab Keranvi,Naheed Niazi,
"A Asman, Jaun Kahan, Meri Qismat Ki Tarah..",Kundan,1950,Lal Mohammad Sabri,Tanvir Naqvi,Munawar Sultana,
"A Bad-e-Saba, Ik Dard Ka Pegham Liye Ja..",Ishq-e-Laila,1957,Safdar Hussain,Qateel Shafai,Zubaida Khanum,
"A Chand Asman Kay, Meray Chand Say Kehna..",Mujrim,1954,Tufail Farooqi,Ahmad Rahi,Fazal Hussain,
"A Chand Un Say Kehna, Afsanay Ban Gaye Hayn..",Gumnam,1954,Master Inayat Hussain,Qateel Shafai,Kousar Parveen,
"A Chand, A Sitaro, Rahi Ko Rah Dikhao..",Mandi,1956,Rafiq Ghaznavi,Mushir Kazmi,Khursheed,
"A Chand, Un Say Ja Kar, Mera Salam Kehna..",Sarfarosh,1956,Rasheed Attray,Tufail Hoshiarpuri,Zubaida Khanum,
"A Chand, Un Say Kehna, Jis Dil Mein Ghar Kiya Tha..",Ghalt Fehmi,1950,Inayat Ali Nath,Tufail Hoshiarpuri,Iqbal Begum,
"A Dil Walo, Saajan Gaye, Ham Ujar Geye..",Teri Yaad,1948,Inayat Ali Nath,Tufail Hoshiarpuri,Munawar Sultana,
"A Dil, Gham Na Kar, Na Muskarana Ja Kay, Phir Na Aye Yeh Zamana..",Teray Baghair,1959,Master Inayat Hussain,Tanvir Naqvi,Naheed Niazi,
"A Dil, Main Kya Karun, Meray Armaan Lut Geye..",Hichkolay,1949,Master Inayat Hussain,Saifuddin Saif,Naseem Akhtar,
"A Dil, Teri Bahar Kay Saman Ujar Geye..",Nazrana,1955,Tufail Farooqi,Qateel Shafai,Inayat Hussain Bhatti,
"A Dil, Woh Zindagi Kay Saharay Kahan Geye, Ham Kho Geye..",BeGunah,1958,Mian Shehar Yaar,Ashur Kazmi,Munawar Sultana,
"A Dil, Yunhi Dharakna, Jab Tak Na Aye Koi..",Lalkar,1959,Akhtar Hussain Akhian,Hazin Qadri,Zubaida Khanum,
"A Dil, Zara Bata, Ashk Bahaun Keh Nahin..",Kunvari Beva,1956,Qadir Faridi,Tufail Hoshiarpuri,Zubaida Khanum,
"A Dil-e-Be-Qarar, Kya Ho Ga..",Anokhi Dastan,1950,G.A. Chishti,Tufail Hoshiarpuri,Munawar Sultana,
"A Khasa-e-Khasan-Russal, Waqt-e-Dua Hay Ummat Peh Teri..",Darbar-e-Habib,1956,Rehman Verma,?,Saleem Raza,
